Titre,Tag,Auteur,Date,Filename,Dossier,SousDossier,Rubrique
MELACANCHON,Éditoriaux,MELMAN Charles,23/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210623\3_8_20210623_160231603_604114702.html,Traduction éditoriaux,,Editoriaux
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 24,Archives séminaires d’été,COERCHON Pierre,23/06/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TR., P. Coërchon L 24, 18_05_2021.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
L’absolu n’est pas humain,Divers,THIAUDE Muriel,22/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210622\3_8_20210622_114135569_1087393127.html,,,Billets d'actualité
De l’identification,Archives journées des cartels,,22/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\Fiche cartel De l’identification.pdf,,,Les cartels de l'ALI
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 17,Archives séminaires d’été,GOIAN Flavia,21/06/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD, TXT, F. Goian, L. 17  03_03_2021.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
"Sur le film « Claudia », de Franck Saint-Cast",D'autres scènes,GOIAN Flavia,18/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210618\3_8_20210618_091250271_1979766824.html,,,D'autres scènes
"Sur le film « Claudia », de Franck Saint-Cast",D'autres scènes,GOIAN Flavia,17/06/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\Claudia, Flavia Goian.pdf",,,D'autres scènes
Melacanchon,Éditoriaux,MELMAN Charles,17/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210617\3_8_20210617_104021679_445533561.html,Traduction éditoriaux,En espagnol,Editoriaux
MELACANCHON,Éditoriaux,MELMAN Charles,16/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210616\3_8_20210616_123940322_766793684.html,Traduction éditoriaux,En portuguais,Editoriaux
L'autobiographie criminelle ou la plainte d’Antigone,Base documentaire,ISAIA Marco,16/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210616\3_8_20210616_101549484_1873122135.html,,,Parutions
Enseignements du mois de juin 2021,Collège des enseignements,SECRETARIAT ALI,15/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20201026\3_8_20201026_173735790_28154.html,,,Enseignements
Discussion de la leçon 1,Archives séminaires d’été,,15/06/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TR. DISCUSSION L. 1, M. Darmon, 06_10_2021.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
Melacanchon,Archives séminaires d’été,MELMAN Charles,14/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210614\3_8_20210614_112311043_1174419649.html,,,Editoriaux
Remarques faites par Charles Melman  lors du live Transferts culturels,Archives séminaires d’été,MELMAN Charles,14/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\Melman - Transferts culturels v2.pdf,,,
Hommage à Marcel Czermak,Hommages,YERRO Marie-Nadiége,14/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210614\3_8_20210614_164808417_72893687.html,,,Hommage
Il faut entendre « La Troisième » !,Hommages,"CHASSAING Jean-Louis,FLORENTIN Thierry,MORALI Marc",11/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210611\3_8_20210611_122441877_1499242145.html,,,Journées d'études
Hommage à Marcel Czermak,Hommages,FLORENTIN Thierry,11/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210611\3_8_20210611_093618049_2080368573.html,,,Hommage
Marcel,Éditoriaux,MELMAN Charles,10/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210610\3_8_20210610_103154532_964766503.html,Traduction éditoriaux,En turc,Editoriaux
Rencontre avec Marcel Czermak,Hommages,CHASSAING Jean-Louis,09/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210609\3_8_20210609_170122718_2003002617.html,,,Hommage
Марсель,Éditoriaux,MELMAN Charles,09/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210609\3_8_20210609_143234668_1141644693.html,Traduction éditoriaux,En russe,Editoriaux
à Marcel Czermak,Hommages,PERIN Jean,09/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210609\3_8_20210609_112308973_1655323055.html,,,Hommage
Un enseignement,Hommages,LACÔTE-DESTRIBATS Christiane,09/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210609\3_8_20210609_112110037_1542085408.html,,,Hommage
Hommage à Marcel Czermak,Hommages,BON Norbert,09/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210609\3_8_20210609_102535646_617800624.html,,,Hommage
Marcel,Éditoriaux,MELMAN Charles,08/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210608\3_8_20210608_142918836_1563596471.html,Traduction éditoriaux,En italien,Editoriaux
Kaddish pour des enfants perdus,Hommages,MELMAN Charles,08/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210608\3_8_20210608_142933304_680574844.html,,,Hommage
Séminaire de Charles Melman : Remarques sur la clinique lacanienne (13/04/2021 - en transcription ),Rue des archives => séminaires,MELMAN Charles,08/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0413_MELMAN.pdf,Séminaire de Charles Melman 2020-2021 : remarques sur la clinique lacanienne,,Séminaire de Charles Melman
How to successfully neuroticise the relation,Éditoriaux,MELMAN Charles,07/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210607\3_8_20210607_160219494_1678488572.html,Traduction éditoriaux,En anglais,Editoriaux
LE MÉTIER D’ÊTRE HOMME.,Base documentaire,JEJCIC Marie,26/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210526\3_8_20210526_164347579_351897522.html,Parutions des membres chez d'autres éditeurs,,Parutions
Quelques traits du retour de bâton au Brésil,Cycles de conférence,DE GOES Maria Idalia,08/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0602_MAL.pdf,,,Cartel franco-brésilien de la psychanalyse
Traços do retorno do bastão no Brasil,Cycles de conférence,DE GOES Maria Idalia,07/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0602_MAL version port.pdf,,,Cartel franco-brésilien de la psychanalyse
Marcel,Éditoriaux,MELMAN Charles,08/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210608\3_8_20210608_104201295_2022641741.html,Traduction éditoriaux,En anglais,Editoriaux
Marcel,Éditoriaux,MELMAN Charles,08/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210608\3_8_20210608_103331220_718187892.html,Traduction éditoriaux,En portuguais,Editoriaux
"Sabina Spielrein, poésie et vérité",Notes de lecture,CHASSAING Jean-Louis,07/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\Sabina Spielrein PLASTOW.pdf,,,Notes de lecture
Marcel (ÉDITO et ADDENDUM),Notes de lecture,MELMAN Charles,03/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210604\3_8_20210604_112603646_2112910770.html,,,Editoriaux
Traverser la folie. Entretiens avec Hélène L'Heuillet,Base documentaire,"CZERMAK Marcel,L'HEUILLET Hélène",07/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210607\3_8_20210607_102318337_2010338696.html,Parutions des membres chez d'autres éditeurs,,Parutions
Séminaire de Charles Melman : Remarques sur la clinique lacanienne (11/05/2021 - en transcription ),Rue des archives => séminaires,MELMAN Charles,04/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0511_MELMAN2.pdf,Séminaire de Charles Melman 2020-2021 : remarques sur la clinique lacanienne,,Séminaire de Charles Melman
Le genre : une dysphorie collective ?,Rue des archives => séminaires,BÉLOT FOURCADE Pascale,03/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0529_PBF.pdf,,,Actualités des travaux de l'ALI
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 25,Archives séminaires d’été,GAMBINI Fabrizio,03/06/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TXT F. Gambini, L. 25, 18_5 sur Zoom.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
Como ter sucesso em neurotizar a relação,Éditoriaux,MELMAN Charles,01/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210601\3_8_20210601_142516904_923472034.html,Traduction éditoriaux,En portuguais,Editoriaux
Cómo lograr neurotizar la relación,Éditoriaux,MELMAN Charles,01/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210601\3_8_20210601_141647736_1184759044.html,Traduction éditoriaux,En espagnol,Editoriaux
LES AVATARS D’UN MONDE SEULEMENT MATERNEL,Notes de lecture,LEBRUN Jean-Pierre,01/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210601\3_8_20210601_125025406_624325017.html,,,Notes de lecture
Conférence d'Alexandre Beine à propos de « Transfert actuel et adolescences contemporaines ».,Le Grand Séminaire,BEINE Alexandre,01/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0525_GS beine.pdf,Grand Séminaire de l'ALI 2020-2021 : Espaces du transfert,,Grand Séminaire de l'ALI
Wie Sie die Beziehung erfolgreich neurotisieren,Éditoriaux,MELMAN Charles,01/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210601\3_8_20210601_105153309_1619056352.html,Traduction éditoriaux,En allemand,Editoriaux
« Nous ne le saurons peut-être jamais… »,Divers,LUSTEAU Julien,01/06/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\Texte Lusteau relu.pdf,,,Billets d'actualité
Discussion de la leçon 17,Archives séminaires d’été,,28/05/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TR discussion L. 17, F. Goian, 02_03_2021.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
Comment dit-cerner ? (2),Archives séminaires d’été,BRINI Jean,25/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021 01 16 Mathinee 03 Dit-cerner 02 (1).pdf,Préparation au séminaire d'été 2021 : L'Identification,,
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 23,Archives séminaires d’été,BRINI Jean,25/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL Texte de JBRINI.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
L’aveuglement dans l’acte,Notes de lecture,CLAUDEPIERRE TIGIRLAS Luminitza,26/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0526_Luminitza Claudepierre Tigirlas.pdf,,,Notes de lecture
Comment réussir à névrotiser la relation,Notes de lecture,MELMAN Charles,25/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210525\3_8_20210525_165153163_421826930.html,,,Editoriaux
Le communautsarisme,Notes de lecture,MELMAN Charles,06/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210406\3_8_20210406_212757908_110468833.html,,,Editoriaux
The thirst of those with impaired judgement,Éditoriaux,MELMAN Charles,25/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210525\3_8_20210525_100723823_88306708.html,Traduction éditoriaux,En anglais,Editoriaux
Vous avez dit binaire ?,Cycles de conférence,BÉLOT FOURCADE Pascale,20/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0505_PBF MAL.pdf,Retour de bâton ?,,Cartel franco-brésilien de la psychanalyse
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 22,Archives séminaires d’été,NOIRJEAN Cyrille,04/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TXT C. Noirjean L. 22 06_04_2021 (1).pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 5,Archives séminaires d’été,CATHELINEAU-JUNQUA Anne,09/02/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2020_1117_ L5 ACathelineau.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 15,Archives séminaires d’été,QUILICHINI Josiane,01/03/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\02_02_2021 L15 J QUILICHINI .pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ 2021 - L'IDENTIFICATION - LEÇON 13,Archives séminaires d’été,FIERENS Christian,01/03/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TR_Notes Ch. Fierens L 13  19_01_2021.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 14,Archives séminaires d’été,DELAFOND Nathalie,02/03/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TXT N Delafond L14 20210202.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ 2021- L'IDENTIFICATION - LEÇON 16,Archives séminaires d’été,MAREY-SEMPER Mathilde.,16/03/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TXT L16 M Marey-Semper 03_03_2021.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ 2021 - L'IDENTIFICATION - LEÇON 10,Archives séminaires d’été,,02/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TR L10 du 05012021 F.della VALLE.pdf,Préparation au séminaire d'été 2021 : L'Identification,Dossier de préparation,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 18,Archives séminaires d’été,PITAVY Thatyana,05/04/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD T. Pitavy, L.18, 16_03_2021.pdf",Préparation au séminaire d'été 2021 : L'Identification,Dossier de préparation,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 19,Archives séminaires d’été,CASTRO Juliana,13/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TXT J. CASTRO L. 19 - 16_03_2021 (2).pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ 2021 - L'IDENTIFICATION - LEÇON 17,Archives séminaires d’été,GOIAN Flavia,16/04/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210416\final accord, txt, f. goian, l. 17  03_03_2021.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 9,Archives séminaires d’été,BROUWER DE Didier,31/12/2020,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TXT D. de BROUWER L 9, 15_12_2020.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 2,Archives séminaires d’été,SCHENKER Lydia,23/03/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TXT L SHENKER L 2 03_11_2020.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 21,Archives séminaires d’été,MASSAT Alice,20/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\ACCORD FINAL TXT A. MASSAT L 21 06_04_21.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
SÉMINAIRE DE PRÉPARATION AU SÉMINAIRE D'ÉTÉ  2021 - L'IDENTIFICATION - LEÇON 20,Archives séminaires d’été,BEAUMONT Jean-Paul,19/04/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL ACCORD TXT, L. 20, J.-P. BEAUMONT, 06_04_21.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
Discussion de la leçon 22,Archives séminaires d’été,,17/05/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TR DISCUSSION, L. 22 C. NOIRJEAN 04_05_2021.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
A sede do discernimento comprometido,Éditoriaux,MELMAN Charles,17/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210517\3_8_20210517_102027943_388756627.html,Traduction éditoriaux,En portuguais,Editoriaux
Жажда страждущих прозрения,Éditoriaux,MELMAN Charles,17/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210517\3_8_20210517_100801871_580882760.html,Traduction éditoriaux,En russe,Editoriaux
Les Nouvelles Figures du psychologue clinicien,Base documentaire,COLLECTIF,14/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210514\3_8_20210514_111333707_2002374253.html,Parutions des membres chez d'autres éditeurs,,Parutions
Leçons de ténèbres avec sarcasmes,Base documentaire,LACÔTE-DESTRIBATS Christiane,12/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210512\3_8_20210512_151326639_1731659337.html,Parutions des membres chez d'autres éditeurs,,Parutions
Lectura del sinthoma,Base documentaire,FIERENS Christian,10/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210510\3_8_20210510_150442374_1995785337.html,Parutions des membres chez d'autres éditeurs,En espagnol,Parutions
Muhakemesi bozukların açlığı,Éditoriaux,MELMAN Charles,10/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210510\3_8_20210510_103213983_740506090.html,Traduction éditoriaux,En turc,Editoriaux
Le vrai et le Réel,Éditoriaux,DOUMIT Elie,10/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210510\3_8_20210510_102339689_465503196.html,,,Actualités des travaux de l'ALI
Η δίψα των αλλοιωμένων κρίσεων (discernement),Éditoriaux,MELMAN Charles,10/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210510\3_8_20210510_000806612_1075960129.html,Traduction éditoriaux,En grec,Editoriaux
La sed de los alterados del discernimiento,Éditoriaux,MELMAN Charles,10/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210510\3_8_20210510_000502348_1627555536.html,Traduction éditoriaux,En espagnol,Editoriaux
Der Durst der Beeinträchtigten nach Urteilsfähigkeit,Éditoriaux,MELMAN Charles,10/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210510\3_8_20210510_000244958_1019401159.html,Traduction éditoriaux,En allemand,Editoriaux
"Devoto, ponta de barbante¹",Éditoriaux,MELMAN Charles,05/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210505\3_8_20210505_123227715_1124977989.html,Traduction éditoriaux,En portuguais,Editoriaux
Casanova : un incroyant qui semble « croire à l’inconscient »,Éditoriaux,CLAUDEPIERRE TIGIRLAS Luminitza,04/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0503_Casanova Luminitza Claudepierre Tigirlas.pdf,,,Actualités des travaux de l'ALI
La soif des altérés du discernement,Éditoriaux,MELMAN Charles,04/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210504\3_8_20210504_154519524_652006461.html,,,Editoriaux
Interview de JP Lebrun par le magazine Généthique : Dysphorie de genre chez les enfants : quelles réponses ?,Divers,LEBRUN Jean-Pierre,04/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210504\3_8_20210504_105816471_1350597825.html,,,Billets d'actualité
Komünoçarizm,Éditoriaux,MELMAN Charles,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210502\3_8_20210502_235934119_1072817414.html,Traduction éditoriaux,En turc,Editoriaux
SEANCE PLÉNIÈRE SUR LA LEÇON VII DU SÉMINAIRE L’ANGOISSE (EXTRAITS),Le collège de l'ALI,LANDMAN Claude,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0208_lecon Vii extraits.pdf,Le collège de l'ALI,,
SEANCE PLÉNIÈRE SUR LA LEÇON IV DU SÉMINAIRE L’ANGOISSE (EXTRAITS),Le collège de l'ALI,THIBIERGE Stéphane,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2020_1214_Lecon IV extraits.pdf,Le collège de l'ALI,,
"Marabout, am Faden",Éditoriaux,MELMAN Charles,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210503\3_8_20210503_115616894_474250774.html,Traduction éditoriaux,En allemand,Editoriaux
Discussion de la leçon 05,Archives séminaires d’été,,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TR Discussion L 5 A  Cathelineau du 17 novembre.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
Discussion de la leçon 16,Archives séminaires d’été,,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TR discussion L. 16 M. Marey-Semper docx.pdf,Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
Discussion de la leçon 09,Archives séminaires d’été,,03/05/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TR Discussion, L.9, ACCORD D. de Brouwer (2).pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
La psychanalyse comme dialogue,Base documentaire,CHEMAMA Roland,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210421\3_8_20210421_133823358_1122880322.html,Parutions des membres chez d'autres éditeurs,,Parutions
Les ficelles du métier !,Divers,CHASSAING Jean-Louis,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210503\3_8_20210503_002820435_497373493.html,,,Billets d'actualité
"Morabito, punta del hilo",Éditoriaux,MELMAN Charles,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210502\3_8_20210502_235737167_2101780913.html,Traduction éditoriaux,En espagnol,Editoriaux
"Hacı hoca , ipin ucu",Éditoriaux,MELMAN Charles,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210503\3_8_20210503_000224727_297439985.html,Traduction éditoriaux,En turc,Editoriaux
"Ο Μαραμπού, άκρη του νήματος",Éditoriaux,MELMAN Charles,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210503\3_8_20210503_000512446_536009265.html,Traduction éditoriaux,En grec,Editoriaux
Гоголя от Гегеля,Éditoriaux,MELMAN Charles,03/05/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210503\3_8_20210503_000742194_802871903.html,Traduction éditoriaux,En russe,Editoriaux
"« Il faut imaginer [l’analyste] heureux » Désir, sublimation, sinthome...",Éditoriaux,BON Norbert,29/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210429\3_8_20210429_112401693_613844569.html,,,Actualités des travaux de l'ALI
"Marabout, a bit [bout] of string",Éditoriaux,MELMAN Charles,28/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210428\3_8_20210428_141206833_1921886736.html,Traduction éditoriaux,En anglais,Editoriaux
Discussion de la leçon 19,Archives séminaires d’été,,28/04/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL, TR discussion, L. 19 J. Castro Arantes.pdf",Préparation au séminaire d'été 2021 : L'Identification,Dossier de préparation,Séminaire d'Été
Discussion après la conférence de Marisa Fiumano,Le Grand Séminaire,,27/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0323_GS_Fiumano_discussion.pdf,Grand Séminaire de l'ALI 2020-2021 : Espaces du transfert,,Grand Séminaire de l'ALI
La fonction de la parole pendant le confinement,Le Grand Séminaire,FIUMANO Marisa,27/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0323_GS_Fiumano.pdf,Grand Séminaire de l'ALI 2020-2021 : Espaces du transfert,,Grand Séminaire de l'ALI
"Marabout, bout de ficelle",Le Grand Séminaire,MELMAN Charles,27/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210427\3_8_20210427_102551957_1345747753.html,,,Editoriaux
"LA TROISIÈME, TRANSCRIPTION PAR JEAN-PIERRE ROSSFELDER",Divers,ROSSFELDER Jean-Pierre,09/12/2020,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\VERSION JPROSS.pdf,,Dossier de préparation,Journées d'études
"LA TROISIÈME, TRANSCRIPTION PAR VIRGINIA HASENBALG",Divers,HASENBALG-CORABIANU Virginia Alicia,09/12/2020,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\TROISIEME, VAH.pdf",,Dossier de préparation,Journées d'études
Tout mais pas ça,Divers,GOROG Françoise,19/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\2021_0307_GOROG relu.pdf,Journées d'étude : Un fantasme prêt-à-porter ? Questions sur le fantasme féminin,Dossier de retour,Journées d'études
PLUS UNE PERSONNE,Archives journées des cartels,SCHARLING Lene,01/10/2020,G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\JE cartel SCHARLING  Plus une personne.pdf,,Dossier de retour,Les cartels de l'ALI
Discussions de la leçon 14 et de la leçon 15,Archives séminaires d’été,,23/04/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TR discussion L. 14 + TR discussion L. 15, L.Scharling.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
Discussion de la leçon 13,Archives séminaires d’été,,22/04/2021,"G:\inetpub\wwwroot\znsv4\Archives\3\Pdf\FINAL TR Discussion L. 13, P. Castagna.pdf",Préparation au séminaire d'été 2021 : L'Identification,,Séminaire d'Été
"Conversation entre Cédric Gourmelon et Cyrille Noirjean, à propos de Liberté à Brême"", R.W.Fassbinder",Archives séminaires d’été,"GOURMELON Cédric,NOIRJEAN Cyrille",22/04/2021,G:\inetpub\wwwroot\znsv4\Archives\3\Autres\20210422\3_8_20210422_131658811_1009661356.html,Journées d'étude : Un fantasme prêt-à-porter ? Questions sur le fantasme féminin,Dossier de retour,Journées d'études
